size time0 iterations0 time1 iterations1 time2 iterations2 time3 iterations3 time4 iterations4 time5 iterations5 time6 iterations6 time7 iterations7 time8 iterations8 time9 iterations9 avg_time avg_iterations
2 70100 1 4300 1 4000 1 3900 1 3500 1 3300 1 3700 1 3400 1 47100 1 3100 1 14640.0 0.9999999999999999
4 37800 6 8000 6 5400 6 4700 6 5100 6 5600 6 19200 6 6000 6 10200 6 11000 6 11300.0 5.999999999999999
8 131000 28 10800 28 50200 28 6300 28 5300 28 6300 28 7100 28 7400 28 26600 28 6300 28 25730.0 28.000000000000004
16 18900 120 19200 120 20300 120 19900 120 92100 120 20500 120 19100 120 17900 120 27900 120 19400 120 27520.0 120.0
32 182200 496 12700 496 10400 496 11400 496 28400 496 8600 496 10700 496 12700 496 11800 496 15600 496 30450.0 496.0000000000001
64 131200 2016 68100 2016 46000 2016 59600 2016 150400 2016 69200 2016 64500 2016 2906900 2016 213500 2016 11800 2016 372120.0 2015.9999999999995
128 1083900 8128 25500 8128 46300 8128 27900 8128 174600 8128 42500 8128 25700 8128 27500 8128 42600 8128 2096900 8128 359340.0 8128.000000000001
256 336900 32640 244000 32640 1414500 32640 128600 32640 168300 32640 329000 32640 199400 32640 154700 32640 301100 32640 250800 32640 352730.0 32640.0
512 1010000 130816 1165300 130816 1836000 130816 1898100 130816 1219000 130816 1058400 130816 1127500 130816 939600 130816 1009900 130816 909100 130816 1217290.0 130816.00000000003
1024 5143700 523776 4875800 523776 6375900 523776 6974100 523776 6203800 523776 6055500 523776 7649000 523776 8057800 523776 5208300 523776 5172100 523776 6171600.0 523775.9999999999
2048 46173600 2096128 43012800 2096128 39303500 2096128 42956300 2096128 61852000 2096128 36543100 2096128 38212800 2096128 36284500 2096128 35007100 2096128 35424600 2096128 4.147703E7 2096128.0000000002
4096 194203900 8386560 219606800 8386560 206234000 8386560 202690700 8386560 201948000 8386560 210965400 8386560 211482300 8386560 212664400 8386560 212635300 8386560 242912300 8386560 2.1153431E8 8386560.0
8192 1182109700 33550336 959288700 33550336 929574900 33550336 898188000 33550336 907559700 33550336 891455200 33550336 923689300 33550336 885405600 33550336 595564500 33550336 914914600 33550336 9.0877502E8 3.3550336000000007E7
16384 4945211100 134209536 4838310100 134209536 4900487400 134209536 4966970200 134209536 5000595000 134209536 5055879500 134209536 4955401800 134209536 3462129900 134209536 7576518300 134209536 6525555700 134209536 5.2227059E9 1.3420953599999997E8
32768 45224969400 536854528 31508357900 536854528 13588463100 536854528 47660505600 536854528 46113912200 536854528 39969982900 536854528 21761205400 536854528 6674777500 536854528 46203807300 536854528 46025780100 536854528 3.447317614E10 5.3685452800000006E8
