size time0 iterations0 time1 iterations1 time2 iterations2 time3 iterations3 time4 iterations4 time5 iterations5 time6 iterations6 time7 iterations7 time8 iterations8 time9 iterations9 avg_time avg_iterations
2 1517000 3 9400 3 11700 3 136800 3 12300 3 9100 3 10100 3 10600 3 105800 3 12700 3 183550.0 2.9999999999999996
4 62900 14 32300 14 30600 14 62200 7 19900 14 42500 14 246100 14 5999900 7 28400 11 25500 14 655030.0 12.299999999999999
8 38800 36 483900 29 33700 29 27100 29 50600 36 50100 28 26400 30 116800 36 31200 23 65900 21 92450.0 29.700000000000003
16 54300 73 49200 80 37300 57 39800 70 210900 80 44000 80 43700 56 80500 70 25800 31 108000 46 69350.0 64.3
32 81300 97 24400 140 20300 71 23500 90 21600 118 21500 112 24400 104 30100 146 61700 73 25500 103 33430.0 105.39999999999999
64 29100 141 205100 135 85800 181 54100 234 99000 233 236200 168 92300 154 36800 149 46800 247 26600 148 91180.0 179.0
128 89500 263 47200 265 56800 283 52600 261 51100 263 67000 297 50400 273 55600 283 101800 343 63000 305 63500.0 283.6
256 153100 517 311400 703 1699300 513 97700 521 143100 616 91000 522 89200 513 88100 529 95300 547 74300 515 284250.0 549.5999999999999
512 452300 1025 257400 1031 1825300 1035 1700200 1115 1768700 1037 193300 1035 228900 1127 208000 1037 1756000 1087 139000 1031 852910.0 1056.0000000000002
1024 346400 2071 299400 2067 3833600 2113 280700 2073 283500 2071 280200 2079 285300 2071 407400 2071 379700 2077 3304400 2079 970060.0 2077.2
2048 1615800 4153 4705900 4141 759800 4145 492800 4143 750300 4141 425500 4139 504200 4139 493800 4129 520000 4137 482200 4137 1075030.0 4140.400000000001
4096 1094200 8293 1209400 8299 3980600 8291 1612700 8313 948300 8307 1051200 8341 1395600 8289 1249200 8279 1634000 8301 1020400 8271 1519560.0 8298.4
8192 3114300 16563 2429300 16595 2935000 16567 3829500 16561 2558600 16593 2753300 16589 2393500 16577 2796300 16557 1204600 16611 4127600 16603 2814200.0 16581.600000000002
16384 4850500 33185 4679600 33189 6473200 33187 4824400 33175 8279200 33163 4830700 33173 5744100 33165 3343600 33151 7263700 33215 6708200 33171 5699720.0 33177.399999999994
32768 15465400 66373 11419900 66353 8260600 66333 13654000 66335 13707000 66339 14225300 66261 10480300 66351 4105100 66410 13761900 66387 13750200 66329 1.188297E7 66347.09999999999
